Month,skin bleaching: (United States),Month,skin lightening: (United States),ave,percent Difference,,Year,jan-May&Nov-Dec,JUNE-Oct,percent Difference
2004-01,11,2004-01,15,13,0,,2004,26.28571429,30.4,0.156521739
2004-02,22,2004-02,23,22.5,73.07692308,,2005,26.21428571,26.3,0.003269755
2004-03,39,2004-03,15,27,20,,2006,24,29.4,0.225
2004-04,43,2004-04,37,40,48.14814815,,2007,24.21428571,30.2,0.24719764
2004-05,46,2004-05,39,42.5,6.25,,2008,26,29,0.115384615
2004-06,42,2004-06,40,41,-3.529411765,,2009,37.71428571,54.7,0.450378788
2004-07,23,2004-07,42,32.5,-20.73170732,,2010,36.92857143,43.5,0.17794971
2004-08,19,2004-08,30,24.5,-24.61538462,,2011,48.64285714,53,0.089574156
2004-09,30,2004-09,23,26.5,8.163265306,,2012,70.28571429,58.3,-0.170528455
2004-10,34,2004-10,21,27.5,3.773584906,,2013,56.64285714,64.1,0.131651955
2004-11,28,2004-11,10,19,-30.90909091,,2014,58.92857143,60.3,0.023272727
2004-12,18,2004-12,22,20,5.263157895,,2015,52.28571429,54.1,0.034699454
2004-13,10,2005-01,21,15.5,-22.5,,2016,62.28571429,65.1,0.045183486
2004-14,22,2005-02,31,26.5,70.96774194,,2017,55.92857143,63.4,0.133588761
2004-15,30,2005-03,52,41,54.71698113,,2018,57,61.6,0.080701754
2004-16,34,2005-04,32,33,-19.51219512,,2019,62.6,70.5,0.126198083
2004-17,29,2005-05,40,34.5,4.545454545,,,,,
2005-06,43,2005-06,40,41.5,20.28985507,,Avg,,,12.46696112
2005-07,30,2005-07,36,33,-20.48192771,,,,,
2005-08,14,2005-08,20,17,-48.48484848,,,,,
2005-09,18,2005-09,24,21,23.52941176,,,,,
2005-10,20,2005-10,18,19,-9.523809524,,,,,
2005-11,16,2005-11,17,16.5,-13.15789474,,,,,
2005-12,14,2005-12,19,16.5,0,,,,,
2006-01,23,2006-01,19,21,27.27272727,,,,,
2006-02,22,2006-02,25,23.5,11.9047619,,,,,
2006-03,31,2006-03,22,26.5,12.76595745,,,,,
2006-04,21,2006-04,34,27.5,3.773584906,,,,,
2006-05,25,2006-05,34,29.5,7.272727273,,,,,
2006-06,21,2006-06,43,32,8.474576271,,,,,
2006-07,34,2006-07,37,35.5,10.9375,,,,,
2006-08,23,2006-08,31,27,-23.94366197,,,,,
2006-09,31,2006-09,25,28,3.703703704,,,,,
2006-10,20,2006-10,29,24.5,-12.5,,,,,
2006-11,14,2006-11,28,21,-14.28571429,,,,,
2006-12,14,2006-12,24,19,-9.523809524,,,,,
2007-01,21,2007-01,28,24.5,28.94736842,,,,,
2007-02,22,2007-02,26,24,-2.040816327,,,,,
2007-03,21,2007-03,29,25,4.166666667,,,,,
2007-04,24,2007-04,31,27.5,10,,,,,
2007-05,26,2007-05,29,27.5,0,,,,,
2007-06,28,2007-06,43,35.5,29.09090909,,,,,
2007-07,26,2007-07,39,32.5,-8.450704225,,,,,
2007-08,24,2007-08,32,28,-13.84615385,,,,,
2007-09,24,2007-09,37,30.5,8.928571429,,,,,
2007-10,18,2007-10,31,24.5,-19.67213115,,,,,
2007-11,21,2007-11,19,20,-18.36734694,,,,,
2007-12,14,2007-12,28,21,5,,,,,
2008-01,17,2008-01,20,18.5,-11.9047619,,,,,
2008-02,16,2008-02,21,18.5,0,,,,,
2008-03,21,2008-03,27,24,29.72972973,,,,,
2008-04,26,2008-04,34,30,25,,,,,
2008-05,34,2008-05,37,35.5,18.33333333,,,,,
2008-06,26,2008-06,33,29.5,-16.90140845,,,,,
2008-07,25,2008-07,31,28,-5.084745763,,,,,
2008-08,18,2008-08,36,27,-3.571428571,,,,,
2008-09,41,2008-09,32,36.5,35.18518519,,,,,
2008-10,20,2008-10,28,24,-34.24657534,,,,,
2008-11,27,2008-11,33,30,25,,,,,
2008-12,26,2008-12,25,25.5,-15,,,,,
2009-01,33,2009-01,31,32,25.49019608,,,,,
2009-02,36,2009-02,39,37.5,17.1875,,,,,
2009-03,25,2009-03,40,32.5,-13.33333333,,,,,
2009-04,33,2009-04,45,39,20,,,,,
2009-05,30,2009-05,41,35.5,-8.974358974,,,,,
2009-06,91,2009-06,59,75,111.2676056,,,,,
2009-07,100,2009-07,61,80.5,7.333333333,,,,,
2009-08,37,2009-08,44,40.5,-49.68944099,,,,,
2009-09,39,2009-09,40,39.5,-2.469135802,,,,,
2009-10,30,2009-10,46,38,-3.797468354,,,,,
2009-11,48,2009-11,58,53,39.47368421,,,,,
2009-12,29,2009-12,40,34.5,-34.90566038,,,,,
2010-01,28,2010-01,42,35,1.449275362,,,,,
2010-02,29,2010-02,44,36.5,4.285714286,,,,,
2010-03,32,2010-03,48,40,9.589041096,,,,,
2010-04,38,2010-04,48,43,7.5,,,,,
2010-05,41,2010-05,48,44.5,3.488372093,,,,,
2010-06,34,2010-06,57,45.5,2.247191011,,,,,
2010-07,43,2010-07,60,51.5,13.18681319,,,,,
2010-08,40,2010-08,53,46.5,-9.708737864,,,,,
2010-09,36,2010-09,47,41.5,-10.75268817,,,,,
2010-10,23,2010-10,42,32.5,-21.68674699,,,,,
2010-11,22,2010-11,38,30,-7.692307692,,,,,
2010-12,20,2010-12,39,29.5,-1.666666667,,,,,
2011-01,47,2011-01,45,46,55.93220339,,,,,
2011-02,43,2011-02,49,46,0,,,,,
2011-03,36,2011-03,56,46,0,,,,,
2011-04,55,2011-04,59,57,23.91304348,,,,,
2011-05,46,2011-05,61,53.5,-6.140350877,,,,,
2011-06,49,2011-06,69,59,10.28037383,,,,,
2011-07,50,2011-07,70,60,1.694915254,,,,,
2011-08,43,2011-08,62,52.5,-12.5,,,,,
2011-09,36,2011-09,62,49,-6.666666667,,,,,
2011-10,35,2011-10,54,44.5,-9.183673469,,,,,
2011-11,34,2011-11,57,45.5,2.247191011,,,,,
2011-12,37,2011-12,56,46.5,2.197802198,,,,,
2012-01,37,2012-01,55,46,-1.075268817,,,,,
2012-02,38,2012-02,61,49.5,7.608695652,,,,,
2012-03,40,2012-03,68,54,9.090909091,,,,,
2012-04,45,2012-04,77,61,12.96296296,,,,,
2012-05,56,2012-05,80,68,11.47540984,,,,,
2012-06,54,2012-06,79,66.5,-2.205882353,,,,,
2012-07,50,2012-07,78,64,-3.759398496,,,,,
2012-08,47,2012-08,80,63.5,-0.78125,,,,,
2012-09,37,2012-09,69,53,-16.53543307,,,,,
2012-10,34,2012-10,55,44.5,-16.03773585,,,,,
2012-11,31,2012-11,51,41,-7.865168539,,,,,
2012-12,32,2012-12,52,42,2.43902439,,,,,
2013-01,46,2013-01,65,55.5,32.14285714,,,,,
2013-02,50,2013-02,65,57.5,3.603603604,,,,,
2013-03,47,2013-03,64,55.5,-3.47826087,,,,,
2013-04,49,2013-04,77,63,13.51351351,,,,,
2013-05,53,2013-05,79,66,4.761904762,,,,,
2013-06,58,2013-06,88,73,10.60606061,,,,,
2013-07,61,2013-07,88,74.5,2.054794521,,,,,
2013-08,49,2013-08,80,64.5,-13.42281879,,,,,
2013-09,45,2013-09,72,58.5,-9.302325581,,,,,
2013-10,39,2013-10,61,50,-14.52991453,,,,,
2013-11,41,2013-11,61,51,2,,,,,
2013-12,38,2013-12,58,48,-5.882352941,,,,,
2014-01,47,2014-01,72,59.5,23.95833333,,,,,
2014-02,43,2014-02,72,57.5,-3.361344538,,,,,
2014-03,60,2014-03,74,67,16.52173913,,,,,
2014-04,57,2014-04,73,65,-2.985074627,,,,,
2014-05,52,2014-05,86,69,6.153846154,,,,,
2014-06,56,2014-06,95,75.5,9.420289855,,,,,
2014-07,48,2014-07,87,67.5,-10.59602649,,,,,
2014-08,49,2014-08,79,64,-5.185185185,,,,,
2014-09,36,2014-09,65,50.5,-21.09375,,,,,
2014-10,34,2014-10,54,44,-12.87128713,,,,,
2014-11,34,2014-11,61,47.5,7.954545455,,,,,
2014-12,47,2014-12,47,47,-1.052631579,,,,,
2015-01,43,2015-01,66,54.5,15.95744681,,,,,
2015-02,44,2015-02,70,57,4.587155963,,,,,
2015-03,45,2015-03,58,51.5,-9.649122807,,,,,
2015-04,41,2015-04,72,56.5,9.708737864,,,,,
2015-05,42,2015-05,74,58,2.654867257,,,,,
2015-06,49,2015-06,77,63,8.620689655,,,,,
2015-07,48,2015-07,75,61.5,-2.380952381,,,,,
2015-08,40,2015-08,74,57,-7.317073171,,,,,
2015-09,37,2015-09,61,49,-14.03508772,,,,,
2015-10,31,2015-10,49,40,-18.36734694,,,,,
2015-11,32,2015-11,51,41.5,3.75,,,,,
2015-12,33,2015-12,61,47,13.25301205,,,,,
2016-01,53,2016-01,74,63.5,35.10638298,,,,,
2016-02,46,2016-02,76,61,-3.937007874,,,,,
2016-03,46,2016-03,81,63.5,4.098360656,,,,,
2016-04,72,2016-04,84,78,22.83464567,,,,,
2016-05,52,2016-05,83,67.5,-13.46153846,,,,,
2016-06,60,2016-06,88,74,9.62962963,,,,,
2016-07,80,2016-07,95,87.5,18.24324324,,,,,
2016-08,43,2016-08,81,62,-29.14285714,,,,,
2016-09,41,2016-09,68,54.5,-12.09677419,,,,,
2016-10,38,2016-10,57,47.5,-12.8440367,,,,,
2016-11,38,2016-11,58,48,1.052631579,,,,,
2016-12,54,2016-12,55,54.5,13.54166667,,,,,
2017-01,38,2017-01,68,53,-2.752293578,,,,,
2017-02,37,2017-02,74,55.5,4.716981132,,,,,
2017-03,41,2017-03,73,57,2.702702703,,,,,
2017-04,42,2017-04,78,60,5.263157895,,,,,
2017-05,40,2017-05,84,62,3.333333333,,,,,
2017-06,45,2017-06,90,67.5,8.870967742,,,,,
2017-07,63,2017-07,100,81.5,20.74074074,,,,,
2017-08,40,2017-08,82,61,-25.15337423,,,,,
2017-09,39,2017-09,66,52.5,-13.93442623,,,,,
2017-10,38,2017-10,71,54.5,3.80952381,,,,,
2017-11,38,2017-11,66,52,-4.587155963,,,,,
2017-12,36,2017-12,68,52,0,,,,,
2018-01,33,2018-01,70,51.5,-0.961538462,,,,,
2018-02,45,2018-02,67,56,8.737864078,,,,,
2018-03,36,2018-03,74,55,-1.785714286,,,,,
2018-04,43,2018-04,76,59.5,8.181818182,,,,,
2018-05,56,2018-05,87,71.5,20.16806723,,,,,
2018-06,49,2018-06,93,71,-0.699300699,,,,,
2018-07,54,2018-07,89,71.5,0.704225352,,,,,
2018-08,43,2018-08,73,58,-18.88111888,,,,,
2018-09,38,2018-09,71,54.5,-6.034482759,,,,,
2018-10,44,2018-10,62,53,-2.752293578,,,,,
2018-11,45,2018-11,61,53,0,,,,,
2018-12,43,2018-12,62,52.5,-0.943396226,,,,,
2019-01,42,2019-01,64,53,0.952380952,,,,,
2019-02,39,2019-02,72,55.5,4.716981132,,,,,
2019-03,73,2019-03,82,77.5,39.63963964,,,,,
2019-04,54,2019-04,78,66,-14.83870968,,,,,
2019-05,44,2019-05,78,61,-7.575757576,,,,,
2019-06,56,2019-06,85,70.5,15.57377049,,,,,
